Bestellung 9: Rennradlenker, Stahl, Kettenschaltung, Rennradlenker
Bestellung 10: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 11: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 12: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 13: Rennradlenker, Aluminium, Kettenschaltung, Rennradlenker
Bestellung 14: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 15: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 16: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 17: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 18: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 19: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 20: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 21: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 22: Flatbarlenker, Stahl, Kettenschaltung, Flatbarlenker
Bestellung 23: Rennradlenker, Stahl, Kettenschaltung, Rennradlenker
Bestellung 9: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 10: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
Bestellung 9: Flatbarlenker, Aluminium, Kettenschaltung, Flatbarlenker
